,episode,reward
0,20,9.8
1,40,10.8
2,60,9.2
3,80,9.6
4,100,9.4
5,120,34.2
6,140,55.2
7,160,53.4
8,180,21.8
9,200,18.0
10,220,26.2
11,240,27.2
12,260,10.4
13,280,59.6
14,300,15.0
15,320,24.4
16,340,9.2
17,360,11.8
18,380,13.8
19,400,10.0
20,420,12.4
21,440,16.4
22,460,10.2
23,480,9.8
24,500,10.2
25,520,9.6
26,540,9.6
27,560,9.6
28,580,9.6
29,600,20.8
30,620,10.6
31,640,13.8
32,660,12.0
33,680,10.0
34,700,13.2
35,720,9.0
36,740,9.6
37,760,26.2
38,780,10.0
39,800,9.8
40,820,9.4
41,840,9.4
42,860,10.0
43,880,10.0
44,900,29.2
45,920,8.6
46,940,11.2
47,960,9.6
48,980,9.0
49,1000,9.4
50,1020,9.4
51,1040,11.8
52,1060,14.2
53,1080,17.0
54,1100,10.2
55,1120,9.6
56,1140,9.8
57,1160,12.0
58,1180,8.8
59,1200,14.4
60,1220,21.0
61,1240,30.2
62,1260,25.8
63,1280,18.8
64,1300,18.0
65,1320,24.6
66,1340,66.0
67,1360,9.2
68,1380,9.6
69,1400,39.2
70,1420,22.0
71,1440,19.4
72,1460,11.6
73,1480,10.2
74,1500,9.6
75,1520,12.6
76,1540,9.4
77,1560,27.4
78,1580,14.4
79,1600,13.2
80,1620,9.4
81,1640,10.0
82,1660,10.6
83,1680,9.4
84,1700,10.8
85,1720,12.0
86,1740,12.6
87,1760,14.8
88,1780,10.0
89,1800,9.4
90,1820,9.4
91,1840,9.2
92,1860,8.8
93,1880,9.4
94,1900,9.0
95,1920,9.4
96,1940,9.2
97,1960,9.0
98,1980,12.0
99,2000,9.0
100,2020,9.2
101,2040,9.2
102,2060,9.2
103,2080,9.2
104,2100,9.4
105,2120,10.2
106,2140,9.4
107,2160,9.0
108,2180,9.6
109,2200,9.2
110,2220,8.6
111,2240,9.4
112,2260,10.8
113,2280,12.8
114,2300,8.8
115,2320,9.2
116,2340,9.0
117,2360,9.0
118,2380,9.0
119,2400,11.0
120,2420,8.8
121,2440,10.8
122,2460,9.4
123,2480,10.0
124,2500,13.0
125,2520,9.8
126,2540,8.8
127,2560,9.4
128,2580,9.0
129,2600,49.8
130,2620,11.0
131,2640,9.4
132,2660,8.8
133,2680,8.4
134,2700,9.2
135,2720,9.4
136,2740,9.0
137,2760,9.6
138,2780,9.8
139,2800,9.2
140,2820,11.2
141,2840,10.2
142,2860,9.8
143,2880,9.2
144,2900,13.0
145,2920,9.8
146,2940,9.4
147,2960,9.2
148,2980,9.2
149,3000,8.8
