,episode,reward
0,20,9.4
1,40,9.6
2,60,9.0
3,80,9.4
4,100,9.0
5,120,9.6
6,140,9.2
7,160,10.0
8,180,9.6
9,200,13.2
10,220,25.8
11,240,16.8
12,260,33.2
13,280,42.0
14,300,39.0
15,320,43.8
16,340,41.4
17,360,31.8
18,380,34.2
19,400,52.8
20,420,33.0
21,440,36.6
22,460,37.4
23,480,39.4
24,500,33.8
25,520,60.0
26,540,40.8
27,560,41.8
28,580,34.6
29,600,35.8
30,620,32.8
31,640,40.6
32,660,56.4
33,680,42.4
34,700,43.6
35,720,47.2
36,740,35.6
37,760,38.0
38,780,33.0
39,800,32.4
40,820,41.0
41,840,44.6
42,860,39.4
43,880,28.8
44,900,39.4
45,920,33.2
46,940,36.6
47,960,48.0
48,980,38.6
49,1000,41.2
50,1020,33.0
51,1040,47.2
52,1060,33.0
53,1080,36.2
54,1100,31.6
55,1120,42.4
56,1140,46.6
57,1160,50.0
58,1180,51.0
59,1200,33.6
60,1220,64.2
61,1240,41.2
62,1260,37.6
63,1280,39.0
64,1300,48.0
65,1320,37.4
66,1340,35.2
67,1360,45.0
68,1380,31.8
69,1400,33.0
70,1420,40.6
71,1440,57.4
72,1460,57.8
73,1480,36.2
74,1500,34.6
75,1520,48.6
76,1540,30.4
77,1560,34.2
78,1580,40.2
79,1600,47.0
80,1620,29.6
81,1640,25.8
82,1660,24.8
83,1680,38.6
84,1700,31.6
85,1720,52.6
86,1740,14.2
87,1760,48.0
88,1780,58.2
89,1800,71.8
90,1820,55.0
91,1840,47.6
92,1860,58.4
93,1880,45.8
94,1900,37.6
95,1920,43.2
96,1940,26.2
97,1960,35.2
98,1980,19.8
99,2000,23.2
100,2020,50.4
101,2040,35.8
102,2060,49.2
103,2080,37.4
104,2100,62.2
105,2120,34.4
106,2140,39.0
107,2160,42.0
108,2180,35.2
109,2200,36.2
110,2220,25.4
111,2240,36.0
112,2260,33.2
113,2280,35.2
114,2300,13.4
115,2320,54.4
116,2340,39.2
117,2360,36.4
118,2380,49.6
119,2400,45.0
120,2420,49.6
121,2440,28.0
122,2460,48.4
123,2480,32.2
124,2500,28.2
125,2520,32.6
126,2540,23.6
127,2560,48.8
128,2580,46.4
129,2600,45.6
130,2620,36.0
131,2640,43.6
132,2660,52.6
133,2680,52.2
134,2700,27.4
135,2720,35.8
136,2740,14.6
137,2760,50.6
138,2780,14.4
139,2800,35.6
140,2820,39.0
141,2840,32.8
142,2860,42.4
143,2880,14.6
144,2900,54.8
145,2920,45.0
146,2940,37.8
147,2960,33.8
148,2980,39.6
149,3000,29.8
