,episode,reward
0,10,-12.24
1,20,-11.2
2,30,-11.56
3,40,-12.28
4,50,-10.84
5,60,-12.44
6,70,-11.8
7,80,-11.96
8,90,-11.44
9,100,-9.48
10,110,-10.92
11,120,-8.72
12,130,-11.2
13,140,-11.36
14,150,-10.8
15,160,-11.48
16,170,-11.96
17,180,-10.32
18,190,-11.2
19,200,-10.32
20,210,-10.96
21,220,-10.56
22,230,-10.72
23,240,-10.44
24,250,-10.0
25,260,-10.6
26,270,-10.28
27,280,-11.28
28,290,-9.88
29,300,-11.52
30,310,-10.84
31,320,-11.44
32,330,-10.4
33,340,-10.68
34,350,-11.2
35,360,-9.96
36,370,-11.4
37,380,-10.16
38,390,-10.48
39,400,-11.04
40,410,-11.48
41,420,-10.88
42,430,-10.96
43,440,-11.4
44,450,-10.32
45,460,-9.8
46,470,-9.96
47,480,-11.32
48,490,-10.32
49,500,-11.0
50,510,-10.4
51,520,-10.28
52,530,-10.68
53,540,-9.52
54,550,-9.76
55,560,-10.24
56,570,-10.4
57,580,-10.08
58,590,-10.08
59,600,-11.72
60,610,-11.36
61,620,-11.6
62,630,-9.48
63,640,-10.24
64,650,-10.08
65,660,-11.44
66,670,-9.8
67,680,-9.76
68,690,-10.12
69,700,-10.36
70,710,-10.24
71,720,-11.12
72,730,-10.92
73,740,-10.2
74,750,-11.48
75,760,-11.2
76,770,-11.28
77,780,-11.04
78,790,-10.08
79,800,-10.52
80,810,-10.96
81,820,-10.48
82,830,-10.08
83,840,-10.16
84,850,-10.72
85,860,-11.32
86,870,-10.16
87,880,-10.6
88,890,-8.84
89,900,-10.08
90,910,-9.84
91,920,-11.24
92,930,-10.24
93,940,-9.92
94,950,-10.48
95,960,-10.96
96,970,-11.04
97,980,-10.76
98,990,-9.72
99,1000,-10.12
100,1010,-10.8
101,1020,-10.92
102,1030,-11.2
103,1040,-9.32
104,1050,-11.04
105,1060,-10.4
106,1070,-10.04
107,1080,-9.84
108,1090,-11.32
109,1100,-10.72
110,1110,-9.68
111,1120,-9.92
112,1130,-9.32
113,1140,-10.08
114,1150,-9.68
115,1160,-9.48
116,1170,-11.04
117,1180,-11.04
118,1190,-10.24
119,1200,-10.52
120,1210,-11.24
121,1220,-10.56
122,1230,-10.84
123,1240,-10.84
124,1250,-11.24
125,1260,-10.2
126,1270,-10.4
127,1280,-9.76
128,1290,-10.6
129,1300,-10.48
130,1310,-11.8
131,1320,-9.8
132,1330,-11.0
133,1340,-10.64
134,1350,-9.28
135,1360,-9.52
136,1370,-10.2
137,1380,-11.0
138,1390,-11.12
139,1400,-9.8
140,1410,-10.76
141,1420,-10.36
142,1430,-10.12
143,1440,-11.36
144,1450,-10.72
145,1460,-10.44
146,1470,-9.76
147,1480,-9.24
148,1490,-10.08
149,1500,-10.6
150,1510,-11.28
151,1520,-10.32
152,1530,-10.16
153,1540,-10.36
154,1550,-11.52
155,1560,-9.0
156,1570,-11.56
157,1580,-11.52
158,1590,-12.24
159,1600,-11.96
160,1610,-10.88
161,1620,-10.8
162,1630,-11.28
163,1640,-10.52
164,1650,-10.52
165,1660,-10.76
166,1670,-10.12
167,1680,-10.04
168,1690,-10.92
169,1700,-11.0
170,1710,-12.0
171,1720,-9.52
172,1730,-11.44
173,1740,-10.64
174,1750,-9.84
175,1760,-11.12
176,1770,-11.16
177,1780,-10.24
178,1790,-9.64
179,1800,-10.56
180,1810,-10.6
181,1820,-9.24
182,1830,-10.96
183,1840,-10.28
184,1850,-10.64
185,1860,-10.8
186,1870,-11.08
187,1880,-10.76
188,1890,-11.08
189,1900,-10.8
190,1910,-10.96
191,1920,-11.24
192,1930,-10.92
193,1940,-10.4
194,1950,-10.96
195,1960,-11.8
196,1970,-9.52
197,1980,-8.2
198,1990,-10.12
199,2000,-9.56
200,2010,-10.0
201,2020,-11.2
202,2030,-10.24
203,2040,-11.08
204,2050,-10.92
205,2060,-11.8
206,2070,-10.24
207,2080,-10.76
208,2090,-9.84
209,2100,-11.16
210,2110,-10.72
211,2120,-10.72
212,2130,-11.36
213,2140,-11.2
214,2150,-10.56
215,2160,-10.44
216,2170,-10.28
217,2180,-9.84
218,2190,-11.32
219,2200,-11.32
