,episode,reward
0,10,-11.6
1,20,-11.92
2,30,-11.84
3,40,-11.36
4,50,-12.08
5,60,-11.4
6,70,-12.2
7,80,-12.4
8,90,-11.76
9,100,-12.44
10,110,-12.04
11,120,-11.84
12,130,-11.48
13,140,-12.36
14,150,-12.32
15,160,-11.72
16,170,-11.8
17,180,-11.96
18,190,-11.72
19,200,-11.88
20,210,-12.24
21,220,-10.92
22,230,-11.76
23,240,-11.96
24,250,-12.68
25,260,-12.16
26,270,-11.68
27,280,-12.04
28,290,-12.24
29,300,-12.04
30,310,-11.56
31,320,-12.2
32,330,-12.16
33,340,-11.96
34,350,-12.16
35,360,-12.84
36,370,-11.88
37,380,-12.12
38,390,-12.28
39,400,-11.24
40,410,-12.28
41,420,-11.16
42,430,-12.4
43,440,-12.6
44,450,-11.92
45,460,-12.36
46,470,-11.6
47,480,-12.04
48,490,-12.0
49,500,-11.68
50,510,-12.12
51,520,-11.6
52,530,-11.88
53,540,-11.88
54,550,-11.12
55,560,-11.96
56,570,-12.24
57,580,-10.8
58,590,-11.2
59,600,-11.6
60,610,-12.32
61,620,-11.68
62,630,-12.16
63,640,-11.92
64,650,-11.72
65,660,-12.12
66,670,-12.6
67,680,-11.92
68,690,-11.12
69,700,-12.44
70,710,-11.52
71,720,-11.6
72,730,-11.2
73,740,-11.52
74,750,-12.0
75,760,-11.6
76,770,-12.72
77,780,-11.64
78,790,-10.8
79,800,-12.08
80,810,-12.64
81,820,-11.52
82,830,-12.04
83,840,-11.52
84,850,-11.88
85,860,-12.32
86,870,-11.6
87,880,-11.36
88,890,-12.2
89,900,-11.88
90,910,-11.88
91,920,-11.76
92,930,-12.04
93,940,-11.8
94,950,-12.36
95,960,-11.4
96,970,-11.64
97,980,-12.4
98,990,-12.28
99,1000,-12.0
100,1010,-11.08
101,1020,-12.44
102,1030,-11.24
103,1040,-12.24
104,1050,-12.08
105,1060,-12.16
106,1070,-11.44
107,1080,-12.2
108,1090,-11.72
109,1100,-11.96
110,1110,-12.52
111,1120,-12.08
112,1130,-12.32
113,1140,-12.16
114,1150,-12.04
115,1160,-12.68
116,1170,-11.64
117,1180,-11.96
118,1190,-12.4
119,1200,-12.24
120,1210,-11.96
121,1220,-11.64
122,1230,-11.52
123,1240,-11.32
124,1250,-12.12
125,1260,-11.72
126,1270,-12.48
127,1280,-12.24
128,1290,-11.76
129,1300,-12.4
130,1310,-12.2
131,1320,-12.32
132,1330,-11.76
133,1340,-12.2
134,1350,-12.36
135,1360,-13.0
136,1370,-11.92
137,1380,-11.72
138,1390,-12.0
139,1400,-11.84
140,1410,-12.16
141,1420,-12.6
142,1430,-12.12
143,1440,-11.92
144,1450,-11.88
145,1460,-12.28
146,1470,-11.36
147,1480,-12.0
148,1490,-12.04
149,1500,-11.84
150,1510,-12.68
151,1520,-11.96
152,1530,-11.84
153,1540,-11.52
154,1550,-11.68
155,1560,-12.0
156,1570,-11.56
157,1580,-12.0
158,1590,-12.24
159,1600,-11.84
160,1610,-12.32
161,1620,-11.68
162,1630,-11.88
163,1640,-11.32
164,1650,-12.24
165,1660,-12.08
166,1670,-12.0
167,1680,-12.36
168,1690,-11.92
169,1700,-12.12
170,1710,-12.16
171,1720,-12.08
