,episode,reward
0,20,4502.4
1,40,2435.4
2,60,3616.4
3,80,4366.6
4,100,4326.6
5,120,4478.4
6,140,3170.0
7,160,3907.0
8,180,3309.0
9,200,2564.0
10,220,3368.2
11,240,3979.8
12,260,3702.8
13,280,4053.8
14,300,3440.6
15,320,4445.8
16,340,3345.4
17,360,4411.2
18,380,4691.6
19,400,4076.0
20,420,4873.2
21,440,4016.0
22,460,3429.0
23,480,3770.4
24,500,3832.4
25,520,4144.2
26,540,4323.8
27,560,4394.6
28,580,3777.0
29,600,4365.4
30,620,4428.2
31,640,4377.4
32,660,3787.2
33,680,3901.4
34,700,4858.8
35,720,3120.4
36,740,3706.2
37,760,3240.4
38,780,3437.6
39,800,3181.6
40,820,3216.4
41,840,3320.8
42,860,4343.0
43,880,3450.2
44,900,3260.2
45,920,3069.4
46,940,3735.8
47,960,3924.2
48,980,3882.0
49,1000,4068.2
50,1020,3231.2
51,1040,3842.2
52,1060,4035.4
53,1080,3648.8
54,1100,3675.6
55,1120,3354.6
56,1140,2600.4
57,1160,2925.2
58,1180,4061.2
59,1200,2925.8
60,1220,3710.0
61,1240,4368.4
62,1260,3687.4
63,1280,4486.4
64,1300,3428.2
65,1320,3461.4
66,1340,4359.2
67,1360,3697.2
68,1380,3238.2
69,1400,3444.8
70,1420,4106.2
71,1440,3850.2
72,1460,4646.6
73,1480,4632.6
74,1500,2929.0
75,1520,3573.8
76,1540,4134.6
77,1560,3736.0
78,1580,3146.4
79,1600,3641.2
80,1620,3925.8
81,1640,3945.8
82,1660,3218.0
83,1680,3347.4
84,1700,3063.8
85,1720,4653.4
86,1740,4449.0
87,1760,4152.6
88,1780,3448.2
89,1800,3349.0
90,1820,2473.0
91,1840,3673.0
92,1860,3862.2
93,1880,2652.0
94,1900,4137.6
95,1920,4423.8
96,1940,3622.2
97,1960,3408.8
98,1980,3263.0
99,2000,4169.0
100,2020,4804.4
101,2040,4168.8
102,2060,4148.6
103,2080,3139.8
104,2100,4686.6
105,2120,4228.0
106,2140,3219.0
107,2160,4153.6
108,2180,4402.0
109,2200,2809.4
110,2220,4247.8
111,2240,4497.4
112,2260,2594.6
113,2280,4039.4
114,2300,4213.6
115,2320,3803.8
116,2340,4832.6
117,2360,3171.0
118,2380,3330.2
119,2400,2196.0
120,2420,3954.0
121,2440,3983.4
122,2460,2413.0
123,2480,3959.2
124,2500,2300.2
125,2520,2416.0
126,2540,4252.8
127,2560,4270.8
128,2580,4314.2
129,2600,4338.6
130,2620,3326.6
131,2640,4195.4
132,2660,4269.8
133,2680,2689.6
134,2700,2876.8
135,2720,4035.4
136,2740,3602.4
137,2760,4455.0
138,2780,4747.6
139,2800,4283.6
140,2820,3703.4
141,2840,5333.4
142,2860,3302.8
143,2880,3488.2
144,2900,3654.8
145,2920,3137.6
146,2940,4707.6
147,2960,4551.8
148,2980,3081.6
149,3000,4615.6
