,episode,reward
0,20,40.8
1,40,14.4
2,60,9.6
3,80,11.6
4,100,10.4
5,120,11.4
6,140,22.2
7,160,9.4
8,180,37.0
9,200,27.0
10,220,9.8
11,240,11.4
12,260,9.6
13,280,9.6
14,300,9.2
15,320,9.4
16,340,9.4
17,360,9.8
18,380,8.8
19,400,9.2
20,420,9.4
21,440,9.2
22,460,9.6
23,480,9.2
24,500,8.4
25,520,9.2
26,540,9.4
27,560,9.4
28,580,9.2
29,600,9.4
30,620,9.6
31,640,9.2
32,660,9.4
33,680,9.2
34,700,9.0
35,720,8.8
36,740,9.4
37,760,9.6
38,780,9.4
39,800,10.6
40,820,9.8
41,840,9.2
42,860,9.6
43,880,9.4
44,900,10.0
45,920,10.0
46,940,9.8
47,960,9.4
48,980,9.6
49,1000,11.2
50,1020,10.0
51,1040,11.0
52,1060,10.4
53,1080,10.2
54,1100,10.0
55,1120,12.0
56,1140,12.8
57,1160,10.2
58,1180,14.2
59,1200,11.2
60,1220,9.6
61,1240,9.8
62,1260,9.8
63,1280,9.6
64,1300,9.8
65,1320,10.0
66,1340,9.8
67,1360,10.0
68,1380,9.6
69,1400,10.8
70,1420,15.4
71,1440,40.4
72,1460,32.8
73,1480,22.0
74,1500,18.6
75,1520,36.0
76,1540,9.6
77,1560,13.0
78,1580,43.8
79,1600,16.8
80,1620,32.6
81,1640,15.4
82,1660,126.6
83,1680,70.6
84,1700,13.0
85,1720,28.4
86,1740,39.2
87,1760,47.6
88,1780,47.8
89,1800,46.4
90,1820,118.0
91,1840,37.8
92,1860,39.2
93,1880,61.0
94,1900,82.2
95,1920,46.2
96,1940,124.0
97,1960,44.4
98,1980,41.4
99,2000,101.6
100,2020,74.6
101,2040,81.6
102,2060,118.0
103,2080,40.4
104,2100,19.4
105,2120,36.2
106,2140,17.2
107,2160,51.8
108,2180,90.2
109,2200,46.0
110,2220,102.0
111,2240,124.2
112,2260,78.0
113,2280,69.0
114,2300,125.2
115,2320,95.8
116,2340,26.4
117,2360,33.6
118,2380,45.2
119,2400,145.2
120,2420,57.8
121,2440,15.6
122,2460,99.8
123,2480,135.2
124,2500,106.4
125,2520,22.6
126,2540,46.8
127,2560,135.2
128,2580,78.8
129,2600,119.6
130,2620,12.8
131,2640,104.6
132,2660,128.2
133,2680,69.6
134,2700,31.8
135,2720,110.8
136,2740,136.8
137,2760,29.6
138,2780,22.0
139,2800,82.4
140,2820,134.6
141,2840,145.4
142,2860,109.4
143,2880,152.2
144,2900,153.4
145,2920,71.4
146,2940,50.0
147,2960,167.6
148,2980,163.8
149,3000,110.0
150,3020,263.4
151,3040,113.2
152,3060,116.0
153,3080,72.6
154,3100,111.6
155,3120,107.0
156,3140,68.2
157,3160,55.8
158,3180,181.4
159,3200,213.0
160,3220,129.8
161,3240,92.4
162,3260,153.6
163,3280,165.8
164,3300,72.8
165,3320,159.4
166,3340,94.8
167,3360,168.4
168,3380,171.4
169,3400,87.0
170,3420,114.2
171,3440,181.0
172,3460,120.4
173,3480,168.2
174,3500,73.8
175,3520,101.8
176,3540,120.8
177,3560,150.4
178,3580,130.2
179,3600,79.2
180,3620,61.8
181,3640,92.0
182,3660,109.2
183,3680,116.8
184,3700,97.8
185,3720,88.2
186,3740,138.4
187,3760,168.8
188,3780,168.4
189,3800,163.2
190,3820,166.2
191,3840,87.2
192,3860,104.6
193,3880,141.8
194,3900,167.6
195,3920,124.0
196,3940,141.0
197,3960,81.2
198,3980,152.0
199,4000,33.6
