,episode,reward
0,20,23.0
1,40,22.4
2,60,10.2
3,80,12.6
4,100,10.8
5,120,9.8
6,140,9.4
7,160,10.8
8,180,8.6
9,200,9.0
10,220,12.8
11,240,9.2
12,260,9.4
13,280,9.4
14,300,8.8
15,320,9.6
16,340,8.8
17,360,9.2
18,380,9.0
19,400,9.4
20,420,9.4
21,440,9.4
22,460,9.0
23,480,9.4
24,500,10.0
25,520,9.2
26,540,9.4
27,560,9.4
28,580,9.2
29,600,9.0
30,620,9.4
31,640,9.6
32,660,9.6
33,680,12.8
34,700,10.0
35,720,9.4
36,740,10.2
37,760,21.0
38,780,13.6
39,800,15.0
40,820,37.6
41,840,11.0
42,860,26.0
43,880,10.0
44,900,11.2
45,920,13.6
46,940,10.2
47,960,16.8
48,980,11.4
49,1000,14.4
50,1020,9.6
51,1040,11.2
52,1060,10.2
53,1080,10.2
54,1100,10.2
55,1120,9.4
56,1140,10.2
57,1160,10.0
58,1180,22.4
59,1200,14.0
60,1220,37.4
61,1240,16.6
62,1260,10.2
63,1280,11.4
64,1300,16.2
65,1320,22.0
66,1340,10.0
67,1360,12.6
68,1380,27.4
69,1400,15.2
70,1420,9.2
71,1440,9.8
72,1460,11.4
73,1480,29.4
74,1500,14.2
75,1520,10.2
76,1540,17.2
77,1560,23.6
78,1580,13.0
79,1600,22.6
80,1620,34.8
81,1640,27.4
82,1660,21.0
83,1680,16.4
84,1700,11.2
85,1720,17.0
86,1740,14.0
87,1760,16.2
88,1780,38.0
89,1800,12.0
90,1820,9.6
91,1840,12.6
92,1860,32.4
93,1880,15.8
94,1900,16.4
95,1920,23.0
96,1940,13.4
97,1960,10.8
98,1980,11.0
99,2000,11.4
100,2020,10.4
101,2040,20.6
102,2060,15.4
103,2080,9.8
104,2100,11.6
105,2120,16.4
106,2140,33.2
107,2160,18.4
108,2180,27.4
109,2200,12.0
110,2220,11.4
111,2240,12.0
112,2260,19.0
113,2280,13.8
114,2300,13.8
115,2320,18.0
116,2340,23.4
117,2360,14.0
118,2380,19.8
119,2400,18.2
120,2420,22.2
121,2440,16.6
122,2460,18.6
123,2480,24.0
124,2500,19.6
125,2520,19.6
126,2540,24.8
127,2560,24.2
128,2580,22.8
129,2600,25.0
130,2620,23.0
131,2640,20.2
132,2660,23.4
133,2680,17.4
134,2700,23.0
135,2720,21.0
136,2740,13.2
137,2760,16.4
138,2780,14.8
139,2800,18.4
140,2820,16.0
141,2840,18.2
142,2860,19.8
143,2880,13.4
144,2900,19.8
145,2920,27.0
146,2940,10.0
147,2960,25.2
148,2980,12.0
149,3000,19.6
150,3020,24.8
151,3040,23.2
152,3060,26.6
153,3080,24.0
154,3100,12.8
155,3120,14.2
156,3140,35.8
157,3160,21.0
158,3180,36.6
159,3200,24.6
160,3220,24.8
161,3240,16.0
162,3260,13.6
163,3280,22.6
164,3300,29.8
165,3320,29.4
166,3340,27.0
167,3360,25.8
168,3380,20.0
169,3400,40.0
170,3420,31.6
171,3440,23.2
172,3460,20.6
173,3480,31.2
174,3500,50.2
175,3520,19.2
176,3540,30.2
177,3560,24.6
178,3580,20.0
179,3600,17.2
180,3620,24.2
181,3640,19.8
182,3660,27.6
183,3680,19.4
184,3700,25.0
185,3720,44.2
186,3740,28.6
187,3760,19.4
188,3780,27.0
189,3800,16.8
190,3820,30.8
191,3840,27.8
192,3860,17.4
193,3880,21.2
194,3900,22.0
195,3920,27.4
196,3940,16.8
197,3960,32.2
198,3980,29.4
199,4000,21.2
200,4020,18.0
201,4040,18.6
202,4060,20.8
203,4080,21.4
204,4100,28.4
205,4120,23.8
206,4140,19.4
207,4160,31.6
208,4180,20.8
209,4200,24.2
210,4220,27.2
211,4240,17.4
212,4260,23.6
213,4280,24.4
214,4300,23.6
215,4320,27.4
216,4340,27.6
217,4360,43.2
218,4380,26.6
219,4400,23.0
220,4420,34.4
221,4440,32.2
222,4460,30.2
223,4480,22.2
224,4500,21.2
225,4520,26.2
226,4540,31.0
227,4560,28.6
228,4580,20.2
229,4600,32.6
230,4620,28.6
231,4640,27.6
232,4660,26.2
233,4680,24.8
234,4700,26.0
235,4720,19.8
236,4740,25.6
237,4760,33.4
238,4780,32.2
239,4800,31.6
240,4820,19.0
241,4840,33.6
242,4860,28.0
243,4880,29.4
244,4900,19.2
245,4920,15.2
246,4940,32.6
247,4960,21.0
248,4980,21.4
249,5000,30.4
