,episode,reward
0,20,21.8
1,40,19.6
2,60,44.6
3,80,15.2
4,100,9.4
5,120,9.4
6,140,12.2
7,160,13.6
8,180,9.4
9,200,28.4
10,220,9.8
11,240,9.2
12,260,8.8
13,280,9.6
14,300,9.6
15,320,9.4
16,340,9.2
17,360,9.0
18,380,9.6
19,400,9.6
20,420,9.8
21,440,9.8
22,460,9.4
23,480,9.0
24,500,8.8
25,520,9.6
26,540,9.4
27,560,9.4
28,580,8.4
29,600,9.8
30,620,9.0
31,640,9.4
32,660,9.4
33,680,9.4
34,700,9.4
35,720,9.4
36,740,9.8
37,760,17.2
38,780,9.0
39,800,17.4
40,820,9.8
41,840,9.8
42,860,22.0
43,880,21.8
44,900,9.6
45,920,10.0
46,940,17.0
47,960,16.0
48,980,10.0
49,1000,85.8
50,1020,36.2
51,1040,43.8
52,1060,23.8
53,1080,42.2
54,1100,30.6
55,1120,19.4
56,1140,23.2
57,1160,31.0
58,1180,26.4
59,1200,50.2
60,1220,46.4
61,1240,197.6
62,1260,12.8
63,1280,32.4
64,1300,11.4
65,1320,51.0
66,1340,43.2
67,1360,93.2
68,1380,90.2
69,1400,16.2
70,1420,21.6
71,1440,44.4
72,1460,66.0
73,1480,96.0
74,1500,53.0
75,1520,10.0
76,1540,26.2
77,1560,51.2
78,1580,86.0
79,1600,34.0
80,1620,56.0
81,1640,122.8
82,1660,37.6
83,1680,92.6
84,1700,122.4
85,1720,110.6
86,1740,70.8
87,1760,48.6
88,1780,92.4
89,1800,102.8
90,1820,25.6
91,1840,33.2
92,1860,81.8
93,1880,33.0
94,1900,73.8
95,1920,55.4
96,1940,82.8
97,1960,44.0
98,1980,37.6
99,2000,17.6
100,2020,50.8
101,2040,57.2
102,2060,43.2
103,2080,41.2
104,2100,66.6
105,2120,91.8
106,2140,48.2
107,2160,74.6
108,2180,48.2
109,2200,21.4
110,2220,138.0
111,2240,44.8
112,2260,77.8
113,2280,44.8
114,2300,10.2
115,2320,156.2
116,2340,131.2
117,2360,102.8
118,2380,120.4
119,2400,49.4
120,2420,49.0
121,2440,20.8
122,2460,99.2
123,2480,63.6
124,2500,58.0
125,2520,18.0
126,2540,16.8
127,2560,73.4
128,2580,16.8
129,2600,24.2
130,2620,26.2
131,2640,93.4
132,2660,87.8
133,2680,21.8
134,2700,70.4
135,2720,79.6
136,2740,78.6
137,2760,20.2
138,2780,112.6
139,2800,93.2
140,2820,151.2
141,2840,64.4
142,2860,65.2
143,2880,104.8
144,2900,158.8
145,2920,62.8
146,2940,135.2
147,2960,71.8
148,2980,101.4
149,3000,43.6
150,3020,85.6
151,3040,74.6
152,3060,68.0
153,3080,74.2
154,3100,88.6
155,3120,18.4
156,3140,76.4
157,3160,56.0
158,3180,29.0
159,3200,29.8
160,3220,60.0
161,3240,59.4
162,3260,146.6
163,3280,40.0
164,3300,11.2
165,3320,100.6
166,3340,27.8
167,3360,67.0
168,3380,71.8
169,3400,130.0
170,3420,86.8
171,3440,141.8
172,3460,54.6
173,3480,35.0
174,3500,110.6
175,3520,92.0
176,3540,32.2
177,3560,131.0
178,3580,37.8
179,3600,82.2
180,3620,91.0
181,3640,139.0
182,3660,92.8
183,3680,122.6
184,3700,120.6
185,3720,60.6
186,3740,138.0
187,3760,45.2
188,3780,55.4
189,3800,32.4
190,3820,89.4
191,3840,183.0
192,3860,62.2
193,3880,117.8
194,3900,90.0
195,3920,160.4
196,3940,153.4
197,3960,85.2
198,3980,115.6
199,4000,175.0
200,4020,108.0
201,4040,112.0
202,4060,87.4
203,4080,56.2
204,4100,59.4
205,4120,128.8
206,4140,82.6
207,4160,77.0
208,4180,100.2
209,4200,36.4
210,4220,59.2
211,4240,101.8
212,4260,126.2
213,4280,134.0
214,4300,134.6
215,4320,93.6
216,4340,119.6
217,4360,80.8
218,4380,79.4
219,4400,62.6
220,4420,202.8
221,4440,269.6
222,4460,185.6
223,4480,108.8
224,4500,97.6
225,4520,203.8
226,4540,191.0
227,4560,54.8
228,4580,84.2
229,4600,97.2
230,4620,111.4
231,4640,149.8
232,4660,205.0
233,4680,63.2
234,4700,165.0
235,4720,142.2
236,4740,61.2
237,4760,155.6
238,4780,24.2
239,4800,166.4
240,4820,138.0
241,4840,130.2
242,4860,76.8
243,4880,127.8
244,4900,60.2
245,4920,95.4
246,4940,89.8
247,4960,143.8
248,4980,108.6
249,5000,142.0
