,episode,reward
0,20,17.0
1,40,37.8
2,60,10.6
3,80,9.4
4,100,12.4
5,120,17.2
6,140,13.0
7,160,12.8
8,180,32.6
9,200,9.6
10,220,9.6
11,240,9.6
12,260,10.0
13,280,9.0
14,300,9.2
15,320,9.2
16,340,9.6
17,360,9.6
18,380,9.4
19,400,9.6
20,420,9.6
21,440,9.2
22,460,8.6
23,480,9.4
24,500,9.2
25,520,9.6
26,540,9.6
27,560,10.0
28,580,9.8
29,600,9.4
30,620,8.8
31,640,10.0
32,660,9.0
33,680,9.6
34,700,11.0
35,720,10.0
36,740,9.6
37,760,12.6
38,780,10.6
39,800,9.4
40,820,10.0
41,840,10.0
42,860,9.2
43,880,9.2
44,900,21.0
45,920,43.6
46,940,19.2
47,960,15.2
48,980,9.6
49,1000,9.8
50,1020,12.0
51,1040,32.2
52,1060,19.6
53,1080,29.8
54,1100,26.6
55,1120,23.4
56,1140,18.8
57,1160,9.8
58,1180,8.8
59,1200,14.0
60,1220,14.4
61,1240,12.2
62,1260,15.6
63,1280,26.4
64,1300,24.6
65,1320,25.6
66,1340,20.6
67,1360,20.0
68,1380,34.4
69,1400,36.6
70,1420,28.4
71,1440,12.6
72,1460,26.6
73,1480,27.8
74,1500,27.6
75,1520,12.8
76,1540,14.0
77,1560,27.8
78,1580,44.2
79,1600,53.8
80,1620,23.6
81,1640,20.8
82,1660,41.2
83,1680,21.6
84,1700,31.8
85,1720,18.0
86,1740,18.0
87,1760,24.8
88,1780,37.2
89,1800,26.4
90,1820,24.2
91,1840,33.8
92,1860,26.4
93,1880,28.6
94,1900,36.8
95,1920,22.0
96,1940,13.0
97,1960,22.0
98,1980,29.4
99,2000,18.4
100,2020,22.4
101,2040,20.4
102,2060,27.4
103,2080,26.4
104,2100,16.6
105,2120,55.0
106,2140,44.4
107,2160,19.0
108,2180,21.8
109,2200,19.6
110,2220,31.8
111,2240,14.6
112,2260,45.0
113,2280,17.8
114,2300,16.2
115,2320,29.6
116,2340,22.4
117,2360,26.8
118,2380,21.8
119,2400,16.0
120,2420,25.0
121,2440,12.6
122,2460,22.0
123,2480,34.6
124,2500,22.6
125,2520,22.2
126,2540,22.4
127,2560,32.6
128,2580,26.4
129,2600,20.8
130,2620,29.2
131,2640,39.8
132,2660,49.4
133,2680,35.4
134,2700,31.2
135,2720,34.2
136,2740,10.4
137,2760,36.6
138,2780,27.0
139,2800,27.8
140,2820,24.8
141,2840,18.6
142,2860,40.4
143,2880,26.6
144,2900,17.8
145,2920,42.2
146,2940,34.2
147,2960,14.4
148,2980,29.8
149,3000,25.0
150,3020,27.0
151,3040,22.2
152,3060,34.8
153,3080,31.4
154,3100,37.0
155,3120,23.8
156,3140,29.2
157,3160,17.8
158,3180,21.6
159,3200,29.2
160,3220,22.6
161,3240,23.8
162,3260,24.8
163,3280,39.8
164,3300,38.8
165,3320,28.0
166,3340,35.6
167,3360,21.8
168,3380,40.0
169,3400,29.6
170,3420,21.8
171,3440,21.8
172,3460,24.8
173,3480,27.6
174,3500,31.0
175,3520,25.4
176,3540,32.4
177,3560,32.4
178,3580,24.0
179,3600,36.0
180,3620,33.8
181,3640,35.4
182,3660,28.0
183,3680,24.0
184,3700,29.4
185,3720,26.4
186,3740,33.6
187,3760,27.8
188,3780,28.6
189,3800,26.8
190,3820,35.8
191,3840,31.2
192,3860,34.8
193,3880,42.8
194,3900,43.2
195,3920,36.0
196,3940,22.2
197,3960,33.4
198,3980,38.2
199,4000,27.4
