,episode,reward
0,20,26.2
1,40,17.4
2,60,23.2
3,80,19.0
4,100,21.2
5,120,10.2
6,140,11.0
7,160,9.4
8,180,9.4
9,200,9.0
10,220,9.2
11,240,9.6
12,260,9.2
13,280,12.6
14,300,9.4
15,320,12.8
16,340,9.4
17,360,9.8
18,380,9.4
19,400,8.8
20,420,9.4
21,440,9.6
22,460,9.8
23,480,9.2
24,500,9.8
25,520,9.0
26,540,9.6
27,560,9.0
28,580,9.0
29,600,9.6
30,620,9.4
31,640,8.6
32,660,9.8
33,680,9.4
34,700,9.4
35,720,9.6
36,740,9.6
37,760,9.8
38,780,9.6
39,800,13.2
40,820,12.8
41,840,10.6
42,860,14.6
43,880,10.2
44,900,10.2
45,920,14.0
46,940,16.4
47,960,70.6
48,980,53.8
49,1000,14.2
50,1020,20.4
51,1040,13.6
52,1060,48.2
53,1080,14.2
54,1100,39.6
55,1120,9.4
56,1140,11.4
57,1160,27.0
58,1180,16.6
59,1200,11.4
60,1220,11.4
61,1240,12.6
62,1260,21.8
63,1280,83.2
64,1300,69.6
65,1320,35.0
66,1340,31.2
67,1360,41.6
68,1380,30.4
69,1400,19.6
70,1420,29.2
71,1440,39.2
72,1460,59.8
73,1480,27.8
74,1500,65.8
75,1520,93.0
76,1540,69.2
77,1560,62.8
78,1580,83.4
79,1600,32.2
80,1620,156.8
81,1640,45.4
82,1660,15.4
83,1680,133.8
84,1700,133.4
85,1720,103.8
86,1740,51.2
87,1760,159.8
88,1780,49.4
89,1800,73.6
90,1820,121.2
91,1840,43.4
92,1860,69.8
93,1880,19.4
94,1900,110.0
95,1920,208.8
96,1940,140.4
97,1960,100.0
98,1980,86.4
99,2000,82.0
100,2020,85.6
101,2040,126.6
102,2060,52.0
103,2080,36.8
104,2100,10.0
105,2120,91.2
106,2140,71.4
107,2160,43.6
108,2180,86.0
109,2200,56.6
110,2220,134.0
111,2240,54.8
112,2260,84.4
113,2280,31.2
114,2300,73.2
115,2320,80.8
116,2340,146.6
117,2360,46.8
118,2380,106.2
119,2400,130.6
120,2420,147.0
121,2440,92.0
122,2460,153.4
123,2480,48.4
124,2500,149.2
125,2520,137.2
126,2540,70.4
127,2560,133.8
128,2580,82.6
129,2600,13.4
130,2620,120.8
131,2640,84.8
132,2660,12.2
133,2680,64.2
134,2700,114.6
135,2720,89.4
136,2740,21.2
137,2760,144.0
138,2780,157.8
139,2800,166.8
140,2820,116.4
141,2840,84.4
142,2860,168.2
143,2880,65.8
144,2900,126.4
145,2920,92.0
146,2940,118.2
147,2960,218.8
148,2980,96.8
149,3000,157.6
150,3020,177.0
151,3040,166.6
152,3060,42.6
153,3080,102.8
154,3100,170.6
155,3120,146.2
156,3140,132.0
157,3160,154.8
158,3180,141.0
159,3200,165.4
160,3220,184.6
161,3240,174.4
162,3260,158.0
163,3280,121.6
164,3300,83.2
165,3320,201.0
166,3340,201.6
167,3360,196.0
168,3380,150.8
169,3400,199.4
170,3420,130.8
171,3440,94.4
172,3460,128.4
173,3480,78.0
174,3500,116.4
175,3520,83.8
176,3540,78.8
177,3560,173.8
178,3580,138.0
179,3600,84.8
180,3620,171.4
181,3640,84.4
182,3660,163.8
183,3680,160.4
184,3700,223.6
185,3720,233.0
186,3740,157.8
187,3760,164.8
188,3780,134.4
189,3800,123.0
190,3820,134.0
191,3840,182.8
192,3860,220.4
193,3880,197.6
194,3900,192.2
195,3920,174.6
196,3940,139.2
197,3960,157.2
198,3980,181.2
199,4000,118.2
200,4020,190.8
201,4040,180.4
202,4060,106.2
203,4080,86.4
204,4100,217.4
205,4120,209.4
206,4140,201.2
207,4160,170.2
208,4180,236.0
209,4200,200.6
210,4220,205.2
211,4240,206.8
212,4260,201.8
213,4280,177.2
214,4300,199.2
215,4320,192.6
216,4340,224.4
217,4360,205.0
218,4380,177.6
219,4400,205.2
220,4420,196.8
221,4440,103.4
222,4460,142.6
223,4480,218.8
224,4500,193.0
225,4520,180.2
226,4540,168.8
227,4560,214.0
228,4580,190.2
229,4600,130.4
230,4620,172.2
231,4640,137.8
232,4660,184.0
233,4680,134.0
234,4700,116.8
235,4720,152.6
236,4740,142.0
237,4760,149.0
238,4780,161.8
239,4800,182.4
240,4820,153.2
241,4840,138.4
242,4860,161.0
243,4880,185.6
244,4900,156.6
245,4920,203.4
246,4940,121.6
247,4960,185.8
248,4980,223.0
249,5000,124.2
