,episode,reward
0,20,9.2
1,40,9.8
2,60,8.8
3,80,9.6
4,100,8.4
5,120,9.4
6,140,15.6
7,160,9.4
8,180,10.0
9,200,9.6
10,220,11.2
11,240,9.6
12,260,10.2
13,280,21.8
14,300,20.2
15,320,14.4
16,340,19.0
17,360,18.6
18,380,12.8
19,400,24.8
20,420,13.8
21,440,34.2
22,460,34.8
23,480,17.0
24,500,13.6
25,520,28.8
26,540,9.6
27,560,16.6
28,580,13.6
29,600,11.6
30,620,12.2
31,640,16.8
32,660,15.6
33,680,13.6
34,700,11.8
35,720,20.0
36,740,13.2
37,760,15.6
38,780,15.4
39,800,23.0
40,820,20.6
41,840,24.6
42,860,24.4
43,880,27.0
44,900,28.6
45,920,33.8
46,940,29.4
47,960,29.8
48,980,33.2
49,1000,43.2
50,1020,37.2
51,1040,36.4
52,1060,32.4
53,1080,16.8
54,1100,33.4
55,1120,17.6
56,1140,20.6
57,1160,27.8
58,1180,30.0
59,1200,19.2
60,1220,27.0
61,1240,29.0
62,1260,27.8
63,1280,32.4
64,1300,27.2
65,1320,27.2
66,1340,21.4
67,1360,23.6
68,1380,21.8
69,1400,38.6
70,1420,37.6
71,1440,32.0
72,1460,27.8
73,1480,26.6
74,1500,10.0
75,1520,15.6
76,1540,17.6
77,1560,26.8
78,1580,33.0
79,1600,29.8
80,1620,10.0
81,1640,26.6
82,1660,12.0
83,1680,15.0
84,1700,19.4
85,1720,28.6
86,1740,34.2
87,1760,28.2
88,1780,26.6
89,1800,35.0
90,1820,23.4
91,1840,31.8
92,1860,28.6
93,1880,31.6
94,1900,37.4
95,1920,27.6
96,1940,29.0
97,1960,17.4
98,1980,15.0
99,2000,33.4
100,2020,34.6
101,2040,33.0
102,2060,29.8
103,2080,32.2
104,2100,43.0
105,2120,46.0
106,2140,47.0
107,2160,24.8
108,2180,22.2
109,2200,31.0
110,2220,27.6
111,2240,27.4
112,2260,25.0
113,2280,26.0
114,2300,29.8
115,2320,27.0
116,2340,35.0
117,2360,35.2
118,2380,28.4
119,2400,23.8
120,2420,17.8
121,2440,31.6
122,2460,28.6
123,2480,35.2
124,2500,23.2
125,2520,34.0
126,2540,23.8
127,2560,31.8
128,2580,22.0
129,2600,41.2
130,2620,25.8
131,2640,21.4
132,2660,36.0
133,2680,21.8
134,2700,31.6
135,2720,23.6
136,2740,36.0
137,2760,9.6
138,2780,9.8
139,2800,13.4
140,2820,30.4
141,2840,26.8
142,2860,26.8
143,2880,27.8
144,2900,34.0
145,2920,31.2
146,2940,39.2
147,2960,97.8
148,2980,29.2
149,3000,24.0
