,episode,reward
0,20,12.2
1,40,9.8
2,60,9.4
3,80,9.0
4,100,9.8
5,120,9.8
6,140,9.4
7,160,8.8
8,180,9.6
9,200,9.0
10,220,10.0
11,240,86.8
12,260,151.6
13,280,11.2
14,300,12.6
15,320,16.4
16,340,15.2
17,360,30.8
18,380,27.6
19,400,43.2
20,420,15.8
21,440,210.2
22,460,186.8
23,480,185.0
24,500,194.6
25,520,121.4
26,540,198.8
27,560,200.6
28,580,133.0
29,600,180.0
30,620,215.2
31,640,180.8
32,660,213.2
33,680,204.0
34,700,173.2
35,720,205.6
36,740,183.6
37,760,205.2
38,780,210.8
39,800,171.0
40,820,206.4
41,840,189.4
42,860,200.6
43,880,189.0
44,900,164.0
45,920,175.0
46,940,194.6
47,960,222.0
48,980,192.8
49,1000,184.0
