,episode,reward
0,20,16.6
1,40,11.8
2,60,13.8
3,80,25.2
4,100,9.4
5,120,9.2
6,140,9.0
7,160,9.8
8,180,9.2
9,200,9.4
10,220,9.2
11,240,9.4
12,260,9.6
13,280,9.4
14,300,9.4
15,320,9.4
16,340,9.2
17,360,9.0
18,380,9.6
19,400,9.8
20,420,10.0
21,440,116.2
22,460,35.6
23,480,26.2
24,500,39.4
25,520,19.8
26,540,64.2
27,560,97.4
28,580,47.0
29,600,75.4
30,620,13.6
31,640,155.8
32,660,15.8
33,680,117.6
34,700,20.0
35,720,16.8
36,740,143.0
37,760,90.6
38,780,82.2
39,800,52.2
40,820,125.2
41,840,42.2
42,860,56.0
43,880,114.0
44,900,109.6
45,920,56.4
46,940,117.8
47,960,103.2
48,980,150.6
49,1000,109.8
