,episode,reward
0,20,9.6
1,40,9.6
2,60,9.2
3,80,9.0
4,100,9.4
5,120,9.0
6,140,9.4
7,160,9.4
8,180,9.6
9,200,9.2
10,220,12.4
11,240,13.2
12,260,10.2
13,280,18.6
14,300,34.6
15,320,25.4
16,340,44.0
17,360,18.8
18,380,22.8
19,400,19.2
20,420,15.6
21,440,16.2
22,460,17.4
23,480,12.6
24,500,9.4
25,520,24.0
26,540,10.0
27,560,22.0
28,580,19.8
29,600,17.4
30,620,11.2
31,640,24.4
32,660,19.8
33,680,19.4
34,700,18.6
35,720,23.0
36,740,32.0
37,760,40.0
38,780,27.8
39,800,36.4
40,820,31.4
41,840,32.0
42,860,31.8
43,880,39.6
44,900,28.0
45,920,37.8
46,940,23.6
47,960,24.4
48,980,34.6
49,1000,36.0
