,episode,reward
0,20,18.2
1,40,17.6
2,60,11.4
3,80,9.4
4,100,10.4
5,120,9.4
6,140,10.2
7,160,9.8
8,180,9.8
9,200,9.4
10,220,9.8
11,240,9.6
12,260,9.2
13,280,9.0
14,300,9.0
15,320,9.4
16,340,9.0
17,360,9.4
18,380,9.4
19,400,9.0
20,420,9.2
21,440,9.2
22,460,9.4
23,480,9.2
24,500,9.4
25,520,9.0
26,540,9.8
27,560,10.0
28,580,9.8
29,600,9.0
30,620,9.6
31,640,10.0
32,660,10.0
33,680,9.0
34,700,9.6
35,720,9.2
36,740,9.2
37,760,10.4
38,780,9.8
39,800,10.8
40,820,12.6
41,840,10.0
42,860,8.8
43,880,11.6
44,900,12.2
45,920,12.2
46,940,9.4
47,960,9.4
48,980,26.8
49,1000,42.2
