,episode,reward
0,20,15.6
1,40,31.2
2,60,15.6
3,80,16.6
4,100,15.8
5,120,9.2
6,140,26.4
7,160,9.4
8,180,9.2
9,200,9.8
10,220,13.0
11,240,9.6
12,260,8.8
13,280,9.6
14,300,9.6
15,320,23.4
16,340,9.4
17,360,9.6
18,380,9.4
19,400,9.0
20,420,8.8
21,440,9.8
22,460,9.0
23,480,9.2
24,500,9.0
25,520,9.6
26,540,9.4
27,560,9.6
28,580,9.6
29,600,9.6
30,620,9.8
31,640,9.6
32,660,10.0
33,680,9.4
34,700,9.8
35,720,9.2
36,740,8.8
37,760,9.4
38,780,10.4
39,800,9.8
40,820,10.2
41,840,9.6
42,860,9.0
43,880,9.2
44,900,9.0
45,920,11.2
46,940,10.6
47,960,14.6
48,980,29.2
49,1000,13.8
50,1020,10.0
51,1040,10.2
52,1060,9.6
53,1080,48.6
54,1100,62.0
55,1120,9.4
56,1140,9.8
57,1160,10.6
58,1180,13.8
59,1200,12.8
60,1220,9.4
61,1240,13.4
62,1260,14.4
63,1280,14.6
64,1300,10.6
65,1320,12.8
66,1340,10.0
67,1360,12.8
68,1380,16.2
69,1400,10.0
70,1420,15.0
71,1440,20.8
72,1460,22.4
73,1480,10.0
74,1500,12.2
75,1520,10.6
76,1540,9.2
77,1560,10.2
78,1580,9.4
79,1600,13.6
80,1620,13.8
81,1640,14.0
82,1660,13.8
83,1680,39.0
84,1700,11.0
85,1720,14.4
86,1740,28.0
87,1760,10.8
88,1780,9.6
89,1800,16.4
90,1820,24.6
91,1840,16.6
92,1860,23.0
93,1880,12.2
94,1900,22.0
95,1920,14.2
96,1940,13.0
97,1960,21.4
98,1980,19.0
99,2000,15.6
100,2020,25.4
101,2040,13.6
102,2060,10.8
103,2080,16.0
104,2100,11.0
105,2120,48.6
106,2140,12.2
107,2160,10.4
108,2180,20.6
109,2200,38.6
110,2220,14.0
111,2240,24.2
112,2260,12.6
113,2280,15.4
114,2300,12.8
115,2320,14.6
116,2340,15.8
117,2360,13.0
118,2380,39.8
119,2400,13.0
120,2420,10.6
121,2440,14.2
122,2460,19.0
123,2480,13.4
124,2500,33.8
125,2520,35.0
126,2540,40.6
127,2560,24.0
128,2580,27.6
129,2600,31.0
130,2620,16.0
131,2640,25.2
132,2660,16.0
133,2680,22.4
134,2700,15.4
135,2720,14.6
136,2740,17.0
137,2760,9.8
138,2780,44.6
139,2800,18.4
140,2820,18.4
141,2840,26.6
142,2860,15.0
143,2880,10.8
144,2900,18.6
145,2920,44.0
146,2940,22.6
147,2960,17.4
148,2980,30.8
149,3000,79.6
150,3020,17.6
151,3040,12.0
152,3060,16.0
153,3080,22.0
154,3100,38.2
155,3120,59.6
156,3140,55.6
157,3160,37.8
158,3180,29.6
159,3200,16.4
160,3220,89.0
161,3240,11.0
162,3260,12.4
163,3280,61.0
164,3300,54.8
165,3320,47.6
166,3340,60.4
167,3360,57.4
168,3380,44.8
169,3400,18.8
170,3420,92.6
171,3440,99.6
172,3460,46.4
173,3480,16.4
174,3500,55.4
175,3520,68.4
176,3540,13.0
177,3560,17.6
178,3580,68.2
179,3600,71.0
180,3620,42.2
181,3640,92.8
182,3660,14.4
183,3680,127.2
184,3700,64.2
185,3720,68.8
186,3740,133.0
187,3760,108.0
188,3780,47.4
189,3800,117.2
190,3820,29.4
191,3840,47.0
192,3860,42.2
193,3880,180.8
194,3900,14.2
195,3920,40.2
196,3940,55.4
197,3960,96.4
198,3980,60.8
199,4000,57.0
